codigo_localidad,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index
1.0,2015,1,653,10,47,14,16,82,130,94,105,131,83,115,285,454,520039,0.0014229702003118996,0.0012556750551400953,1.9229327031241888e-05,9.037783704683688e-05,2.6921057843738644e-05,3.076692324998702e-05
1.0,2015,2,573,12,49,16,11,68,97,88,103,90,111,104,278,383,520039,0.0012710585167650889,0.00110184043889016,2.3075192437490265e-05,9.422370245308525e-05,3.076692324998702e-05,2.1152259734366078e-05
1.0,2015,3,420,10,36,14,14,49,70,66,66,85,78,80,226,268,520039,0.0009499287553433492,0.0008076317353121593,1.9229327031241888e-05,6.92255773124708e-05,2.6921057843738644e-05,2.6921057843738644e-05
1.0,2015,4,521,5,58,15,8,70,82,70,94,98,87,106,266,341,520039,0.0011672201507963826,0.0010018479383277024,9.614663515620944e-06,0.00011153009678120295,2.884399054686283e-05,1.538346162499351e-05
1.0,2016,1,686,6,77,16,18,84,119,111,138,120,111,120,345,456,524100,0.0015321503529860713,0.001308910513260828,1.1448196908986835e-05,0.00014691852699866438,3.0528525090631556e-05,3.434459072696051e-05
1.0,2016,2,663,9,68,17,16,85,129,88,123,124,114,110,340,433,524100,0.0014749093684411371,0.0012650257584430453,1.7172295363480253e-05,0.00012974623163518412,3.243655790879603e-05,3.0528525090631556e-05
1.0,2016,3,811,10,68,19,12,99,129,124,139,138,120,171,396,524,524100,0.0017553901927113147,0.0015474146155313871,1.9080328181644726e-05,0.00012974623163518412,3.6252623545124976e-05,2.289639381797367e-05
1.0,2016,4,783,6,121,15,8,91,164,116,148,132,140,142,441,492,524100,0.0017801946193474528,0.0014939896966227818,1.1448196908986835e-05,0.00023087197099790118,2.8620492272467087e-05,1.5264262545315778e-05
1.0,2017,1,1099,8,42,29,18,108,192,146,185,221,145,199,520,676,528441,0.002263261177690603,0.0020797023698009807,1.5138870753783298e-05,7.947907145736231e-05,5.4878406482464454e-05,3.406245919601242e-05
1.0,2017,2,1074,8,61,20,19,95,193,157,173,178,172,214,507,675,528441,0.0022367681538714825,0.002032393398695408,1.5138870753783298e-05,0.00011543388949759765,3.7847176884458244e-05,3.595481804023533e-05
1.0,2017,3,1583,9,83,32,19,130,250,244,286,254,269,293,772,954,528441,0.0032662113651287464,0.00299560405040487,1.703122959800621e-05,0.0001570657840705017,6.055548301513319e-05,3.595481804023533e-05
1.0,2017,4,2043,7,42,29,18,200,350,227,326,348,295,393,957,1181,528441,0.004047755567792809,0.00386608911874741,1.3246511909560387e-05,7.947907145736231e-05,5.4878406482464454e-05,3.406245919601242e-05
1.0,2018,1,2283,8,55,35,21,234,373,288,361,376,327,443,1088,1312,535205,0.004487999925262283,0.004265655216225558,1.4947543464653731e-05,0.0001027643613194944,6.539550265786007e-05,3.923730159471604e-05
1.0,2018,2,2215,4,60,47,16,179,362,280,372,395,287,467,1110,1231,535205,0.00437589334927738,0.004138601096776002,7.473771732326866e-06,0.00011210657598490298,8.781681785484067e-05,2.9895086929307463e-05
1.0,2018,3,2273,11,83,40,19,215,376,343,370,420,316,386,1165,1260,535205,0.004532842555656244,0.004246970786894741,2.055287226389888e-05,0.00015508076344578246,7.473771732326865e-05,3.550041572855261e-05
1.0,2018,4,2291,11,47,37,21,173,416,302,350,367,312,487,1072,1333,535205,0.0044973421399276915,0.004280602759690212,2.055287226389888e-05,8.781681785484067e-05,6.91323885240235e-05,3.923730159471604e-05
