codigo_localidad,AÑO,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
1.0,2018,561,0,240,321,535205,246729,288476,10.481964854588428,10.481964854588428,13.010225794292523,8.319582911576699
1.0,2019,641,0,296,345,550190,253550,296640,11.65052072920264,11.65052072920264,13.606783671859594,9.978425026968717
1.0,2020,372,0,152,220,558331,257543,300788,6.662714411343808,6.662714411343808,8.542262845427754,5.053393087490193
1.0,2021,454,0,184,270,566966,261368,305598,8.007534843359213,8.007534843359213,10.330262312142267,6.020981812708198
1.0,2022,378,0,156,222,571768,263863,307905,6.611073022624561,6.611073022624561,8.413456983358788,5.06649778340722
1.0,2023,1,0,0,1,573561,264874,308687,0.017434937173203897,0.017434937173203897,0.037753799919961945,0.0
2.0,2018,664,0,313,351,155619,73954,81665,42.6683117100097,42.6683117100097,47.46193579792844,38.32731280230209
2.0,2019,802,0,357,445,162232,77517,84715,49.435376497854925,49.435376497854925,57.4067623876053,42.1412972909166
2.0,2020,337,0,151,186,164974,78892,86082,20.427461296931636,20.427461296931636,23.576535009886936,17.541414000604075
2.0,2021,522,0,242,280,165884,79274,86610,31.4677726604133,31.4677726604133,35.32053384464011,27.94134626486549
2.0,2022,510,0,206,304,165590,78881,86709,30.79896128993297,30.79896128993297,38.539065174123046,23.757626082644244
2.0,2023,3,0,2,1,164830,78297,86533,0.18200570284535583,0.18200570284535583,0.12771881425852843,0.23112569771069996
3.0,2018,459,0,200,259,103100,51178,51922,44.51988360814743,44.51988360814743,50.60768298878424,38.519317437695
3.0,2019,459,0,203,256,105004,52279,52725,43.712620471601085,43.712620471601085,48.968036879052775,38.50165955429114
3.0,2020,241,0,94,147,106860,53170,53690,22.552872917836424,22.552872917836424,27.64716945646041,17.507915813000558
3.0,2021,261,0,98,163,108820,54043,54777,23.984561661459292,23.984561661459292,30.161167958847585,17.890720557898387
3.0,2022,309,0,111,198,110015,54558,55457,28.08707903467709,28.08707903467709,36.29165291982844,20.015507510323314
3.0,2023,1,0,0,1,111062,55070,55992,0.09003979759053501,0.09003979759053501,0.18158707100054475,0.0
4.0,2018,127,0,67,60,385458,186876,198582,3.294781792049977,3.294781792049977,3.2106851602131896,3.373921100603277
4.0,2019,163,0,72,91,392261,189882,202379,4.155396534450277,4.155396534450277,4.7924500479245005,3.5576813799850777
4.0,2020,152,0,54,98,399704,193560,206144,3.8028140824209915,3.8028140824209915,5.0630295515602395,2.619528096864328
4.0,2021,199,0,89,110,401274,194133,207141,4.959204932290654,4.959204932290654,5.666218520292788,4.2965902452918545
