codigo_upz,AÑO,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO
1.0,2015,45,0,3,0,1,11,10,5,6,6,6,5,19,30
1.0,2016,70,0,4,1,1,11,9,7,8,11,23,7,32,44
1.0,2017,130,2,2,0,1,21,19,13,14,12,28,28,55,80
1.0,2018,360,0,0,3,4,82,24,23,21,27,106,84,140,227
1.0,2019,28,0,0,0,0,5,3,5,3,1,7,4,9,19
2.0,2015,28,0,1,2,1,4,2,4,6,2,10,4,13,19
2.0,2016,45,1,3,0,0,6,7,5,6,6,11,8,16,33
2.0,2017,81,1,3,2,0,7,14,5,6,13,22,20,41,46
2.0,2018,170,0,6,3,2,24,19,15,34,18,48,23,78,103
2.0,2019,20,0,2,0,1,7,4,3,2,0,4,3,9,14
3.0,2015,8,0,1,1,1,1,0,0,1,2,3,4,5,6
3.0,2016,18,0,0,0,0,2,6,3,4,0,1,2,7,11
3.0,2017,29,0,0,0,1,4,4,3,3,5,6,5,12,18
3.0,2018,66,0,0,2,0,15,5,3,5,9,25,6,28,40
3.0,2019,8,0,0,0,0,2,0,2,0,1,1,2,3,5
9.0,2015,206,10,35,20,6,41,34,32,38,41,55,36,104,173
9.0,2016,218,13,190,19,11,56,76,62,65,70,57,65,267,184
9.0,2017,497,7,136,17,18,57,106,111,92,93,100,116,337,337
9.0,2018,591,10,84,49,25,78,134,104,105,118,96,124,346,410
9.0,2019,96,2,4,4,4,10,22,16,19,12,13,18,45,65
10.0,2015,167,4,14,7,2,20,37,20,28,34,28,27,98,96
10.0,2016,227,2,27,8,4,34,36,36,47,34,38,43,126,142
10.0,2017,430,2,2,8,4,34,68,65,75,75,54,75,185,261
10.0,2018,686,7,23,14,2,70,114,91,108,100,108,141,331,400
10.0,2019,153,0,0,1,2,9,32,14,22,30,27,22,63,93
11.0,2015,166,13,26,3,6,32,38,28,26,34,32,24,89,125
11.0,2016,252,10,26,5,7,29,46,36,44,41,48,56,139,159
11.0,2017,352,11,24,9,6,40,57,43,59,66,69,68,194,208
11.0,2018,452,8,39,22,14,57,91,58,73,92,73,91,256,278
11.0,2019,74,0,4,2,2,7,16,13,8,12,14,12,33,49
12.0,2015,225,4,16,8,7,36,37,43,41,32,33,38,100,160
12.0,2016,353,1,10,16,7,36,61,58,61,62,50,59,153,234
12.0,2017,554,7,12,20,8,53,84,71,109,95,86,103,240,361
12.0,2018,907,3,34,25,10,80,153,138,154,177,119,158,440,539
12.0,2019,146,2,1,6,2,16,28,17,31,22,16,27,67,90
13.0,2015,487,1,39,10,5,58,76,55,86,80,80,107,227,315
13.0,2016,656,2,31,10,2,73,99,89,126,112,100,102,293,408
13.0,2017,1257,0,23,24,7,125,204,159,204,235,178,206,533,778
13.0,2018,2059,1,23,23,7,164,340,270,352,357,240,390,983,1130
13.0,2019,390,0,5,1,3,36,65,54,68,68,42,66,176,223
14.0,2015,252,2,15,2,10,18,44,41,46,47,39,46,111,170
14.0,2016,314,0,22,3,5,45,56,39,55,46,45,58,142,202
14.0,2017,690,1,15,12,9,51,116,89,114,105,87,165,341,386
14.0,2018,1005,2,18,7,6,71,169,132,155,190,131,190,492,546
14.0,2019,191,0,0,0,1,18,27,21,50,33,15,28,94,98
15.0,2015,142,0,8,2,1,14,21,25,17,28,21,27,65,88
15.0,2016,165,1,4,1,1,15,38,26,19,26,24,24,67,105
15.0,2017,371,0,2,5,0,27,80,45,57,65,56,48,160,218
15.0,2018,595,1,9,6,2,42,97,70,102,106,77,119,306,307
15.0,2019,92,0,0,1,0,6,11,13,22,17,10,14,46,47
16.0,2015,477,3,34,7,11,39,82,69,80,102,65,95,242,289
16.0,2016,688,2,20,4,16,60,120,86,123,112,100,129,303,427
16.0,2017,1518,2,12,15,21,125,251,178,246,255,223,290,711,857
16.0,2018,2407,2,15,10,7,157,405,327,383,391,292,486,1141,1299
16.0,2019,446,0,2,1,0,25,81,70,67,82,46,78,201,247
17.0,2015,208,1,13,14,2,32,38,21,38,40,37,32,102,136
17.0,2016,217,3,8,16,0,22,35,16,41,39,47,44,104,140
