codigo_upz,AÑO,MES,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO
1.0,2015,1,5,0,0,0,1,1,0,1,0,1,1,2,1,5
1.0,2015,2,5,0,1,0,0,0,2,0,0,1,2,1,3,3
1.0,2015,3,6,0,0,0,0,2,1,0,1,1,0,1,2,4
1.0,2015,4,5,0,0,0,0,1,1,1,1,1,0,0,3,2
1.0,2015,5,8,0,0,0,0,2,2,1,2,0,1,0,2,6
1.0,2015,6,2,0,0,0,0,0,0,0,2,0,0,0,1,1
1.0,2015,7,3,0,0,0,0,1,0,0,0,1,1,0,0,3
1.0,2015,8,2,0,0,0,0,1,0,1,0,0,0,0,1,1
1.0,2015,9,3,0,0,0,0,1,1,0,0,0,1,0,2,1
1.0,2015,10,1,0,2,0,0,1,1,0,0,0,0,1,2,1
1.0,2015,11,2,0,0,0,0,1,1,0,0,0,0,0,1,1
1.0,2015,12,3,0,0,0,0,0,1,1,0,1,0,0,1,2
1.0,2016,1,3,0,0,0,0,0,0,0,0,1,2,0,1,2
1.0,2016,2,4,0,1,0,0,2,0,1,0,1,1,0,3,2
1.0,2016,3,8,0,0,0,0,2,0,0,0,1,5,0,2,6
1.0,2016,4,2,0,0,0,0,0,0,0,1,0,1,0,1,1
1.0,2016,5,8,0,1,0,0,1,0,1,1,2,3,1,3,6
1.0,2016,6,4,0,0,0,1,0,1,1,0,1,1,1,1,4
1.0,2016,7,9,0,0,0,0,0,1,1,0,1,5,1,7,2
1.0,2016,8,10,0,0,1,0,4,2,0,3,1,0,1,4,7
1.0,2016,9,7,0,1,0,0,1,1,1,2,1,1,1,4,4
1.0,2016,10,5,0,1,0,0,0,1,1,0,0,2,2,3,3
1.0,2016,11,6,0,0,0,0,0,2,1,1,2,0,0,1,5
1.0,2016,12,4,0,0,0,0,1,1,0,0,0,2,0,2,2
1.0,2017,1,2,0,0,0,0,0,0,0,2,0,0,0,0,2
1.0,2017,2,9,0,0,0,0,0,0,1,1,2,2,3,4,5
1.0,2017,3,27,0,0,0,0,4,4,0,1,1,7,10,9,18
1.0,2017,4,4,0,0,0,0,3,0,0,0,0,0,1,0,4
1.0,2017,5,12,0,1,0,1,3,2,4,0,1,1,3,10,4
1.0,2017,6,7,0,0,0,0,0,3,2,1,1,0,0,4,3
1.0,2017,7,5,1,1,0,0,2,2,0,1,0,0,2,3,4
1.0,2017,8,12,0,0,0,0,3,1,1,1,2,2,2,4,8
1.0,2017,9,13,0,0,0,0,1,1,1,2,0,7,1,6,7
1.0,2017,10,14,0,0,0,0,3,2,1,2,2,3,1,4,10
1.0,2017,11,12,1,0,0,0,1,2,2,1,2,4,1,5,8
1.0,2017,12,13,0,0,0,0,1,2,1,2,1,2,4,6,7
1.0,2018,1,13,0,0,0,0,1,2,0,3,5,0,2,3,10
1.0,2018,2,20,0,0,0,1,2,4,2,2,8,2,1,8,13
1.0,2018,3,163,0,0,1,1,46,3,8,1,2,50,55,57,108
1.0,2018,4,14,0,0,1,1,4,3,1,1,0,5,2,4,12
1.0,2018,5,34,0,0,0,0,8,2,1,4,2,12,5,16,18
1.0,2018,6,11,0,0,0,0,2,1,1,1,0,2,4,4,7
1.0,2018,7,13,0,0,0,0,2,1,1,1,2,4,2,5,8
1.0,2018,8,16,0,0,0,0,1,0,3,1,2,3,6,7,9
1.0,2018,9,20,0,0,0,0,3,1,2,3,0,9,2,11,9
1.0,2018,10,18,0,0,0,0,4,1,2,1,3,6,1,4,14
1.0,2018,11,26,0,0,1,1,5,5,0,1,3,11,3,14,14
1.0,2018,12,12,0,0,0,0,4,1,2,2,0,2,1,7,5
1.0,2019,1,15,0,0,0,0,1,2,2,1,0,6,3,6,9
1.0,2019,2,13,0,0,0,0,4,1,3,2,1,1,1,3,10
2.0,2015,1,3,0,0,0,0,0,1,0,1,0,0,1,1,2
2.0,2015,2,5,0,0,0,0,0,0,0,1,0,3,1,1,4
2.0,2015,3,4,0,0,0,1,2,1,0,0,0,2,0,2,3
2.0,2015,4,2,0,0,0,0,0,0,1,0,0,0,1,1,1
2.0,2015,5,2,0,0,1,0,1,0,0,0,1,1,0,2,1
2.0,2015,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2.0,2015,7,2,0,0,0,0,0,0,0,1,0,1,0,1,1
2.0,2015,8,3,0,0,1,0,0,0,2,1,0,0,1,3,1
2.0,2015,9,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2.0,2015,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2.0,2015,11,2,0,0,0,0,0,0,1,1,0,0,0,0,2
2.0,2015,12,2,0,1,0,0,0,0,0,1,0,2,0,1,2
2.0,2016,1,5,0,0,0,0,1,0,0,3,0,0,1,3,2
2.0,2016,2,7,0,0,0,0,0,0,1,2,1,1,2,1,6
2.0,2016,3,4,0,0,0,0,1,0,0,0,1,1,1,2,2
2.0,2016,4,5,0,0,0,0,0,0,0,0,2,1,2,0,5
2.0,2016,5,3,0,0,0,0,0,2,1,0,0,0,0,1,2
2.0,2016,6,2,0,2,0,0,0,1,1,0,0,1,1,4,0
2.0,2016,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2.0,2016,8,3,0,0,0,0,0,1,0,0,1,1,0,0,3
2.0,2016,9,4,0,1,0,0,1,1,0,1,0,1,1,3,2
2.0,2016,10,3,1,0,0,0,0,0,2,0,0,2,0,0,4
2.0,2016,11,6,0,0,0,0,3,1,0,0,0,2,0,2,4
2.0,2016,12,2,0,0,0,0,0,1,0,0,1,0,0,0,2
2.0,2017,1,3,0,0,0,0,0,0,0,1,0,0,2,1,2
2.0,2017,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2.0,2017,3,9,0,0,0,0,0,2,0,0,0,4,3,3,6
2.0,2017,4,3,1,0,0,0,0,0,0,0,1,3,0,1,3
2.0,2017,5,7,0,0,0,0,1,2,1,0,0,1,2,2,5
2.0,2017,6,7,0,0,0,0,2,3,1,0,0,1,0,5,2
2.0,2017,7,2,0,0,0,0,0,0,0,1,1,0,0,1,1
2.0,2017,8,7,0,0,0,0,0,1,0,1,3,1,1,3,4
2.0,2017,9,13,0,0,1,0,1,1,1,1,3,3,4,6,8
2.0,2017,10,8,0,1,0,0,0,1,0,0,3,2,3,6,3
2.0,2017,11,12,0,2,0,0,1,3,1,1,1,3,4,8,6
2.0,2017,12,9,0,0,1,0,2,1,1,1,0,4,1,5,5
2.0,2018,1,10,0,0,0,0,0,2,1,2,1,3,1,4,6
2.0,2018,2,8,0,0,0,0,1,0,1,2,3,1,0,5,3
2.0,2018,3,40,0,0,0,0,8,2,1,2,0,18,9,18,22
2.0,2018,4,15,0,0,0,0,3,3,4,2,1,2,0,8,7
2.0,2018,5,11,0,0,0,0,0,3,1,3,1,2,1,4,7
2.0,2018,6,14,0,3,1,0,3,2,0,2,2,6,3,6,12
2.0,2018,7,18,0,1,2,1,4,3,2,5,3,2,3,8,14
2.0,2018,8,3,0,0,0,0,1,0,0,0,1,0,1,1,2
2.0,2018,9,15,0,0,0,1,2,2,2,2,2,3,3,7,9
2.0,2018,10,10,0,0,0,0,0,0,1,4,2,3,0,5,5
2.0,2018,11,14,0,1,0,0,1,2,1,3,0,7,1,7,8
2.0,2018,12,12,0,1,0,0,1,0,1,7,2,1,1,5,8
2.0,2019,1,12,0,0,0,1,5,1,0,1,0,4,2,6,7
2.0,2019,2,8,0,2,0,0,2,3,3,1,0,0,1,3,7
3.0,2015,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
3.0,2015,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1
3.0,2015,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1
3.0,2015,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0
3.0,2015,9,1,0,0,0,0,0,0,0,0,0,1,0,0,1
3.0,2015,10,4,0,0,0,0,0,0,0,0,0,1,3,2,2
3.0,2015,11,1,0,0,0,0,0,0,0,0,0,0,1,1,0
3.0,2015,12,1,0,0,0,0,0,0,0,0,1,0,0,1,0
3.0,2016,1,2,0,0,0,0,0,2,0,0,0,0,0,2,0
3.0,2016,2,2,0,0,0,0,1,1,0,0,0,0,0,0,2
3.0,2016,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0
3.0,2016,6,2,0,0,0,0,0,1,0,0,0,0,1,0,2
3.0,2016,7,2,0,0,0,0,0,0,1,0,0,0,1,0,2
3.0,2016,8,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3.0,2016,9,2,0,0,0,0,0,0,0,1,0,1,0,1,1
3.0,2016,10,2,0,0,0,0,1,0,1,0,0,0,0,1,1
3.0,2016,11,3,0,0,0,0,0,0,0,3,0,0,0,1,2
3.0,2016,12,1,0,0,0,0,0,1,0,0,0,0,0,1,0
3.0,2017,1,2,0,0,0,0,0,0,0,0,0,1,1,0,2
3.0,2017,2,2,0,0,0,0,0,1,0,0,0,0,1,1,1
3.0,2017,3,4,0,0,0,0,1,1,1,0,1,0,0,2,2
3.0,2017,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0
3.0,2017,5,2,0,0,0,0,1,0,0,1,0,0,0,1,1
3.0,2017,6,2,0,0,0,0,0,1,0,0,0,1,0,1,1
3.0,2017,7,1,0,0,0,0,0,0,1,0,0,0,0,0,1
3.0,2017,8,2,0,0,0,1,0,0,0,0,1,2,0,0,3
3.0,2017,9,4,0,0,0,0,0,1,0,1,1,0,1,1,3
3.0,2017,10,2,0,0,0,0,1,0,0,1,0,0,0,1,1
3.0,2017,11,2,0,0,0,0,1,0,1,0,0,0,0,1,1
3.0,2017,12,5,0,0,0,0,0,0,0,0,2,1,2,3,2
3.0,2018,1,2,0,0,0,0,0,0,0,1,0,0,1,2,0
3.0,2018,2,7,0,0,0,0,1,0,0,2,1,3,0,5,2
3.0,2018,3,5,0,0,0,0,1,1,1,0,0,1,1,1,4
3.0,2018,4,7,0,0,0,0,1,1,0,0,2,1,2,2,5
3.0,2018,5,17,0,0,1,0,4,0,0,0,2,12,0,8,10
3.0,2018,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3.0,2018,8,6,0,0,0,0,2,3,0,0,0,0,1,3,3
3.0,2018,9,8,0,0,0,0,3,0,0,0,0,5,0,1,7
3.0,2018,10,4,0,0,0,0,0,0,1,1,2,0,0,1,3
3.0,2018,11,5,0,0,0,0,1,0,0,0,1,3,0,2,3
3.0,2018,12,4,0,0,1,0,1,0,1,1,1,0,1,2,3
3.0,2019,1,4,0,0,0,0,2,0,1,0,0,0,1,2,2
3.0,2019,2,4,0,0,0,0,0,0,1,0,1,1,1,1,3
9.0,2015,1,22,0,4,1,1,5,6,5,2,4,4,2,10,18
9.0,2015,2,22,3,2,1,1,3,7,4,3,4,4,4,7,22
