codigo_upz,AÑO,semester,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
1.0,2015,1,31,0,1,0,1,6,6,3,6,4,4,4,12,21,2693,1346,1347,122.53991830672113,115.11325659116228,0.0,3.713330857779428,0.0,3.713330857779428,156.0178306092125,89.08685968819599
1.0,2015,2,14,0,2,0,0,5,4,2,0,2,2,1,7,9,2693,1346,1347,59.41329372447085,51.986632008912,0.0,7.426661715558856,0.0,0.0,66.86478454680534,51.96733481811433
1.0,2016,1,29,0,2,0,1,5,1,3,2,6,13,2,11,21,2646,1320,1326,120.93726379440666,109.59939531368103,0.0,7.558578987150416,0.0,3.779289493575208,159.09090909090907,82.95625942684767
1.0,2016,2,41,0,2,1,0,6,8,4,6,5,10,5,21,23,2646,1320,1326,166.28873771730915,154.95086923658351,0.0,7.558578987150416,3.779289493575208,0.0,174.24242424242425,158.3710407239819
1.0,2017,1,61,0,1,0,1,10,9,7,5,5,10,17,27,36,2600,1293,1307,242.3076923076923,234.6153846153846,0.0,3.8461538461538463,0.0,3.8461538461538463,278.42227378190256,206.57995409334353
1.0,2017,2,69,2,1,0,0,11,10,6,9,7,18,11,28,44,2600,1293,1307,276.9230769230769,265.38461538461536,7.6923076923076925,3.8461538461538463,0.0,0.0,340.2938901778809,214.23106350420812
1.0,2018,1,255,0,0,2,3,63,15,13,12,17,71,69,92,168,2567,1279,1288,1012.8554733151539,993.3774834437086,0.0,0.0,7.791195948578107,11.68679392286716,1313.5261923377639,714.2857142857142
1.0,2018,2,105,0,0,1,1,19,9,10,9,10,35,15,48,59,2567,1279,1288,416.82898324892875,409.0377873003506,0.0,0.0,3.8955979742890534,3.8955979742890534,461.29788897576236,372.67080745341616
1.0,2019,1,28,0,0,0,0,5,3,5,3,1,7,4,9,19,2602,1291,1311,107.60953112990008,107.60953112990008,0.0,0.0,0.0,0.0,147.1727343144849,68.64988558352402
2.0,2015,1,17,0,0,1,1,4,2,1,2,1,6,3,7,12,2791,1390,1401,68.07595843783591,60.91006807595844,0.0,0.0,3.582945180938731,3.582945180938731,86.33093525179856,49.96431120628123
2.0,2015,2,11,0,1,1,0,0,0,3,4,1,4,1,6,7,2791,1390,1401,46.57828735220351,39.412396990326044,0.0,3.582945180938731,3.582945180938731,0.0,50.35971223021582,42.82655246252677
2.0,2016,1,26,0,2,0,0,2,3,3,5,4,4,7,11,17,3173,1568,1605,88.24456350456981,81.94138039710053,0.0,6.3031831074692715,0.0,0.0,108.41836734693878,68.53582554517133
2.0,2016,2,19,1,1,0,0,4,4,2,1,2,7,1,5,16,3173,1568,1605,66.18342262842735,59.880239520958085,3.1515915537346357,3.1515915537346357,0.0,0.0,102.0408163265306,31.15264797507788
2.0,2017,1,30,1,0,0,0,3,7,2,1,2,9,7,12,19,3598,1764,1834,86.15897720956087,83.37965536409116,2.7793218454697053,0.0,0.0,0.0,107.70975056689343,65.43075245365321
2.0,2017,2,51,0,3,2,0,4,7,3,5,11,13,13,29,27,3598,1764,1834,155.64202334630352,141.74541411895498,0.0,8.337965536409115,5.558643690939411,0.0,153.0612244897959,158.12431842966194
