ZAT,AÑO,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_FEMENINO,genero_MASCULINO
1.0,2015,1,0,0,0,0,0,1
1.0,2016,0,0,1,0,0,1,0
1.0,2017,6,1,2,1,0,5,5
1.0,2018,13,0,0,0,0,7,6
1.0,2019,2,0,0,0,0,0,2
2.0,2015,0,0,0,1,0,0,1
2.0,2016,4,0,0,0,0,1,3
2.0,2017,1,0,0,0,1,1,1
2.0,2018,3,0,0,0,0,0,3
3.0,2015,2,0,0,0,0,1,1
3.0,2016,9,0,0,0,0,8,1
3.0,2017,1,0,0,0,0,1,0
3.0,2018,7,0,0,0,1,2,6
3.0,2019,2,0,0,0,0,1,1
4.0,2015,1,0,0,0,0,1,0
4.0,2016,3,0,1,0,0,2,2
4.0,2017,15,0,0,0,0,6,9
4.0,2018,20,0,0,0,0,14,6
4.0,2019,4,0,1,0,1,3,3
6.0,2015,2,0,0,0,0,2,0
6.0,2017,3,0,0,0,0,0,3
6.0,2018,0,0,0,0,1,0,1
7.0,2015,14,0,0,0,1,3,12
7.0,2016,27,0,3,0,1,12,19
7.0,2017,36,0,2,0,0,19,19
7.0,2018,92,0,0,2,2,39,57
7.0,2019,10,0,0,0,0,2,8
8.0,2015,2,0,0,1,0,0,3
8.0,2016,6,0,0,0,0,1,5
8.0,2017,1,0,0,0,0,0,1
8.0,2018,5,0,0,1,0,0,6
9.0,2015,76,1,3,7,1,42,46
9.0,2016,84,0,1,8,0,42,51
9.0,2017,178,1,4,8,2,101,92
9.0,2018,270,1,6,3,1,149,132
9.0,2019,64,0,1,1,0,34,32
10.0,2015,16,0,0,1,0,8,9
10.0,2016,12,0,0,1,0,5,8
10.0,2017,58,0,0,0,0,29,29
10.0,2018,93,0,0,4,0,41,56
10.0,2019,16,0,0,0,1,7,10
11.0,2015,71,2,7,6,3,30,59
11.0,2016,81,3,17,9,4,48,66
11.0,2017,166,1,10,3,5,73,112
11.0,2018,193,3,13,13,10,96,136
11.0,2019,35,1,1,1,1,13,26
12.0,2015,28,3,4,1,0,14,22
12.0,2016,29,1,8,2,1,20,21
12.0,2017,76,2,3,2,3,35,51
12.0,2018,93,0,12,1,4,52,58
12.0,2019,6,1,0,2,0,3,6
13.0,2015,26,3,15,0,1,23,22
13.0,2016,31,3,162,0,2,165,33
13.0,2017,70,1,110,3,5,128,60
13.0,2018,65,5,37,8,3,67,49
13.0,2019,12,0,1,0,0,6,7
14.0,2015,8,0,1,0,0,2,7
14.0,2016,8,0,0,0,0,2,6
14.0,2017,15,0,3,0,0,10,8
14.0,2018,27,0,3,4,3,19,18
14.0,2019,4,0,0,0,0,3,1
15.0,2015,14,1,2,2,0,4,15
15.0,2016,7,0,0,1,1,5,4
15.0,2017,20,0,0,1,3,13,11
15.0,2018,22,0,1,3,0,13,13
15.0,2019,3,0,0,0,0,2,1
16.0,2015,12,1,0,1,0,4,10
16.0,2016,8,0,0,0,0,0,8
16.0,2017,21,0,1,0,0,7,15
16.0,2018,25,0,4,4,4,9,28
16.0,2019,4,0,0,0,0,3,1
17.0,2015,5,0,3,1,0,6,3
17.0,2016,11,1,1,0,0,6,7
17.0,2017,13,0,0,1,0,7,7
17.0,2018,23,0,2,0,0,16,9
17.0,2019,7,0,0,0,0,3,4
18.0,2015,3,0,1,1,0,2,3
18.0,2016,2,0,0,0,0,0,2
18.0,2017,4,0,0,0,0,3,1
18.0,2018,5,0,0,0,0,1,4
18.0,2019,2,0,0,0,0,0,2
19.0,2015,1,0,0,0,0,0,1
19.0,2018,1,0,0,0,0,1,0
20.0,2015,4,1,0,1,0,0,6
20.0,2016,5,0,1,0,0,5,1
20.0,2017,16,0,1,1,1,12,7
20.0,2018,15,0,4,1,0,10,10
20.0,2019,5,0,0,0,0,1,4
21.0,2015,6,0,0,0,0,3,3
21.0,2016,9,0,4,0,0,7,6
21.0,2017,15,0,0,0,2,8,9
21.0,2018,18,0,0,0,0,8,10
21.0,2019,2,0,0,0,0,1,1
22.0,2015,4,0,1,1,0,4,2
22.0,2016,16,0,1,0,0,9,8
22.0,2017,14,0,0,0,0,6,8
22.0,2018,15,3,0,0,1,5,14
22.0,2019,7,0,0,0,0,2,5
23.0,2015,18,0,3,7,1,10,19
23.0,2016,17,0,2,4,2,9,16
23.0,2017,22,1,2,6,1,14,18
23.0,2018,35,0,1,5,1,17,25
23.0,2019,3,0,0,1,1,0,5
24.0,2015,8,0,1,1,0,5,5
24.0,2016,16,1,1,1,1,9,11
24.0,2017,26,1,3,1,0,16,15
24.0,2018,16,0,7,4,0,13,13
24.0,2019,6,0,1,0,1,4,4
25.0,2015,21,0,4,3,1,14,15
25.0,2016,41,0,6,2,1,18,32
25.0,2017,72,2,1,3,0,29,49
25.0,2018,105,1,3,4,1,43,70
25.0,2019,13,0,0,0,1,4,10
26.0,2015,76,0,0,0,0,39,37
26.0,2016,72,0,4,1,0,40,37
26.0,2017,207,0,0,1,1,79,130
26.0,2018,370,1,4,4,0,180,199
26.0,2019,90,0,0,1,1,40,52
27.0,2015,106,0,8,7,1,48,74
27.0,2016,114,3,5,6,0,48,80
27.0,2017,256,2,4,4,1,124,143
27.0,2018,422,1,8,8,5,170,274
27.0,2019,78,0,3,2,1,34,50
28.0,2015,18,0,1,0,0,10,9
28.0,2016,14,0,2,1,0,12,5
28.0,2017,37,0,1,0,0,16,22
28.0,2018,61,0,5,1,0,29,38
28.0,2019,7,0,1,0,0,3,5
29.0,2015,11,0,0,0,0,5,6
29.0,2016,22,0,1,1,0,8,16
29.0,2017,39,0,0,2,0,20,21
29.0,2018,42,0,1,0,0,15,28
29.0,2019,6,0,0,0,0,3,3
30.0,2015,4,0,1,1,0,4,2
30.0,2016,10,1,1,0,0,6,6
30.0,2017,24,0,0,0,0,7,17
30.0,2018,23,0,2,3,0,17,11
30.0,2019,2,0,1,0,0,1,2
31.0,2015,5,0,1,0,0,1,5
31.0,2016,7,0,0,0,0,3,4
31.0,2017,12,0,0,1,0,4,9
31.0,2018,3,0,0,1,0,2,2
32.0,2015,14,0,0,1,1,5,11
32.0,2016,6,0,1,1,2,3,7
32.0,2017,30,0,0,2,0,8,24
32.0,2018,23,0,1,3,5,15,17
32.0,2019,6,0,0,0,0,2,4
33.0,2015,35,4,15,2,5,25,36
33.0,2016,72,5,7,4,4,33,59
33.0,2017,142,1,14,2,8,75,92
33.0,2018,154,2,31,8,10,95,110
33.0,2019,27,0,2,1,1,14,17
36.0,2015,41,1,2,18,9,21,50
36.0,2016,66,1,13,18,11,46,63
36.0,2017,155,1,10,21,6,82,111
36.0,2018,192,5,27,28,3,102,152
36.0,2019,25,0,1,2,3,9,22
37.0,2015,46,5,14,7,7,31,48
37.0,2016,77,6,12,10,14,47,72
37.0,2017,166,4,11,13,14,81,127
37.0,2018,193,4,26,17,14,119,135
37.0,2019,32,0,3,3,3,19,22
38.0,2015,14,0,5,5,2,9,17
38.0,2016,28,0,1,9,9,11,36
38.0,2017,40,0,1,7,10,22,36
38.0,2018,66,0,4,7,3,37,43
38.0,2019,7,0,0,0,2,4,5
39.0,2015,35,0,4,7,3,14,35
39.0,2016,33,0,4,5,2,16,28
39.0,2017,57,1,4,7,3,23,49
39.0,2018,80,2,3,7,2,45,49
39.0,2019,13,0,0,1,0,9,5
40.0,2015,94,1,6,12,3,52,64
40.0,2016,104,1,6,12,9,59,73
40.0,2017,193,1,4,6,12,95,121
40.0,2018,262,1,6,7,9,113,172
40.0,2019,50,0,3,3,3,31,28
41.0,2015,117,1,3,13,3,49,88
41.0,2016,167,0,4,7,10,91,97
41.0,2017,348,3,4,4,15,156,218
41.0,2018,405,2,13,4,8,181,251
41.0,2019,61,0,0,0,1,26,36
42.0,2015,11,0,2,1,0,4,10
42.0,2016,25,2,4,0,2,13,20
42.0,2017,38,1,3,2,2,23,23
42.0,2018,49,1,2,0,1,23,30
42.0,2019,7,0,0,0,0,4,3
43.0,2015,5,0,1,0,0,1,5
43.0,2016,2,0,2,0,0,3,1
43.0,2017,5,0,1,2,0,2,6
43.0,2018,11,0,3,0,0,9,5
43.0,2019,3,0,0,0,0,0,3
44.0,2015,9,0,3,1,0,8,5
44.0,2016,16,0,0,2,1,8,11
44.0,2017,38,0,1,1,1,21,20
44.0,2018,74,0,0,0,2,34,42
44.0,2019,12,0,0,0,0,3,9
45.0,2015,23,0,3,5,2,13,20
45.0,2016,27,0,1,7,0,8,27
45.0,2017,35,0,0,6,0,11,30
45.0,2018,68,0,3,2,0,32,41
45.0,2019,12,0,0,1,0,8,5
46.0,2015,53,0,7,4,1,30,35
46.0,2016,68,1,6,12,2,38,51
46.0,2017,122,0,4,15,1,42,100
46.0,2018,202,0,12,12,1,97,129
46.0,2019,34,0,1,0,0,13,22
47.0,2015,24,0,2,3,2,8,23
47.0,2016,65,0,4,1,0,23,47
47.0,2017,136,0,8,4,2,59,91
47.0,2018,193,0,7,8,1,95,114
47.0,2019,25,0,0,1,0,10,16
48.0,2015,10,0,3,2,1,4,12
48.0,2016,20,1,5,1,0,14,13
48.0,2017,38,0,3,7,2,17,33
48.0,2018,39,1,3,5,1,17,32
48.0,2019,12,0,3,0,0,7,8
49.0,2015,22,1,0,0,2,12,13
49.0,2016,23,1,2,0,1,14,13
49.0,2017,77,1,0,3,0,34,47
49.0,2018,116,0,2,2,1,44,77
49.0,2019,19,0,0,0,1,6,14
50.0,2015,13,1,0,1,0,8,7
50.0,2016,26,0,3,1,0,15,15
50.0,2017,68,0,4,1,0,24,49
50.0,2018,89,1,1,0,0,34,57
50.0,2019,15,0,0,0,0,6,9
51.0,2015,26,1,1,1,1,9,21
51.0,2016,37,0,1,3,0,18,23
51.0,2017,70,0,0,2,0,20,52
51.0,2018,119,0,1,1,1,58,64
51.0,2019,26,1,0,0,0,13,14
52.0,2015,78,0,3,1,3,30,55
52.0,2016,116,0,3,7,3,49,80
52.0,2017,234,5,4,7,5,110,145
52.0,2018,402,0,6,6,3,189,228
52.0,2019,48,0,0,1,1,20,30
53.0,2015,42,2,4,2,3,18,35
53.0,2016,74,0,1,2,3,32,48
53.0,2017,93,1,1,6,1,44,58
53.0,2018,185,1,8,2,2,96,102
53.0,2019,38,0,0,1,0,19,20
54.0,2015,51,0,6,2,0,27,32
54.0,2016,91,1,4,3,1,38,62
54.0,2017,125,1,5,4,1,55,81
54.0,2018,147,2,18,13,4,75,109
54.0,2019,28,1,1,4,1,15,20
55.0,2015,47,3,5,0,1,30,26
55.0,2016,71,1,10,5,3,41,49
55.0,2017,89,0,0,2,0,41,50
55.0,2018,134,2,10,5,0,67,84
55.0,2019,27,0,0,0,0,12,15
56.0,2015,80,3,6,0,2,40,51
56.0,2016,119,2,8,1,0,64,65
56.0,2017,146,0,5,3,2,73,83
56.0,2018,161,3,15,5,4,87,100
56.0,2019,26,0,0,0,1,9,18
57.0,2015,7,0,2,0,1,4,6
57.0,2016,11,0,2,0,1,10,4
57.0,2017,18,0,2,2,0,10,12
57.0,2018,19,0,3,2,2,10,16
57.0,2019,4,0,1,0,0,2,3
58.0,2015,22,7,6,0,2,13,24
58.0,2016,20,3,8,1,2,14,19
58.0,2017,25,8,5,1,2,14,27
58.0,2018,30,5,13,1,2,26,25
58.0,2019,8,0,2,0,0,7,3
59.0,2015,33,3,6,1,0,23,20
59.0,2016,59,2,6,1,3,30,41
59.0,2017,84,2,7,1,1,50,45
59.0,2018,128,0,5,6,4,75,68
59.0,2019,19,0,1,1,1,8,14
60.0,2015,23,0,6,2,0,9,22
60.0,2016,40,3,1,2,1,19,28
60.0,2017,74,1,5,2,1,44,39
60.0,2018,107,0,3,7,2,53,66
60.0,2019,13,0,0,1,0,4,10
61.0,2015,28,1,2,2,0,16,17
61.0,2016,35,0,1,1,0,16,21
61.0,2017,32,0,2,1,1,11,25
61.0,2018,54,0,1,3,0,22,36
61.0,2019,6,0,0,0,0,0,6
62.0,2015,26,0,0,1,0,11,16
62.0,2016,39,0,2,0,0,20,21
62.0,2017,73,0,1,3,0,36,41
62.0,2018,81,0,1,2,0,47,37
62.0,2019,13,0,1,0,0,7,7
63.0,2015,34,0,1,0,0,15,20
63.0,2016,44,0,1,0,0,19,26
63.0,2017,100,0,3,2,0,44,61
63.0,2018,150,0,0,2,1,66,87
63.0,2019,23,0,0,1,0,14,10
64.0,2015,37,0,0,0,0,16,21
64.0,2016,50,0,3,1,1,17,38
64.0,2017,96,1,1,3,1,48,54
64.0,2018,164,1,2,6,1,92,82
64.0,2019,39,0,0,0,0,15,24
65.0,2015,7,0,0,1,0,3,5
65.0,2016,23,0,0,1,1,7,18
