codigo_localidad,nombre_upz,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial
01,LOS CEDROS,USAQUEN,3.940281690140845,50163.87640449438,672.263.207.867,53775.85393258427,152.267.740.971,425.19200000000006,430.156,"3,12",1.867.529,"93,6",0.7865168539325843,0.2808988764044944,5.044943820224719
02,PARDO RUBIO,CHAPINERO,4.468367346938775,16410.29411764706,285.199.005.156,29034.92156862745,130.403.680.685,122.827,122.507,"2,43",2.288.835,"96,61",2.156862745098039,0.6470588235294118,5.549019607843137
03,LOURDES,SANTA FE,2.404857142857143,39191.21621621621,200.137.127.152,25448.675675675677,231.346.380.648,109.107,96.241,"3,18",896.890,"88,28",4.621621621621622,0.6756756756756757,3.918918918918919
04,SAN BLAS,SAN CRISTOBAL,2.1577966101694916,66652.77272727272,400.032.231.099,81488.09090909091,238.093.314.977,407.552,404.35,"3,73",706.208,"83,68",1.0454545454545454,0.3939393939393939,2.1666666666666665
05,CIUDAD USME,USME,1.2341975308641975,33564.545454545456,925.470.476.509,42141.34065934066,145.828.530.921,305.3897373737374,319.6309191919192,"4,07",569.872,"82,91",0.09090909090909091,0.09090909090909091,3.101010101010101
06,VENECIA,TUNJUELITO,2.3194736842105264,109452.43478260869,659.377.024.137,118026.65217391304,219.024.920.058,184.52800000000002,182.53199999999998,"3,63",829.895,"87,19",2.652173913043478,0.8695652173913043,4.0
07,TINTAL SUR,BOSA,1.9174074074074074,123136.85294117648,576.903.769.222,133841.88235294117,735.633.952.561,508.828,546.809,"3,98",703.807,"85,4",0.8235294117647058,0.29411764705882354,4.705882352941177
08,TIMIZA,KENNEDY,2.611194029850746,90693.52857142857,430.438.314.853,93878.0,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",1.3428571428571427,0.5571428571428572,4.314285714285714
09,AEROPUERTO EL DORADO,FONTIBON,2.9831578947368422,49739.63636363636,743.536.979.514,54196.5,112.301.072.173,301.375,317.179,"3,46",1.428.379,"90,03",0.5227272727272727,0.22727272727272727,5.886363636363637
10,ENGATIVA,ENGATIVA,2.872586206896552,111799.42372881356,58.763.454.342,113678.98305084746,222.634.971.795,804.47,824.337,"3,41",1.089.512,"91,78",1.6779661016949152,0.5254237288135594,4.830508474576271
11,LA ACADEMIA,SUBA,3.6279775280898874,92596.23423423423,672.073.080.488,102797.96396396396,136.889.875.031,923.064,981.613,"3,41",1.388.086,"91,6",1.5945945945945945,0.4954954954954955,4.4324324324324325
12,LOS ANDES,BARRIOS UNIDOS,3.219705882352941,72396.13888888889,274.816.645.782,74789.69444444444,169.658.573.145,223.073,230.066,"3,36",1.462.840,"92,44",5.361111111111111,0.9444444444444444,4.333333333333333
13,GALERIAS,TEUSAQUILLO,3.854242424242424,24554.268292682926,237.568.113.094,25420.09756097561,144.564.855.749,137.53,139.298,"2,87",1.933.116,"96,03",4.512195121951219,0.975609756097561,6.0
14,LA SABANA,LOS MARTIRES,2.8763636363636365,48715.545454545456,450.942.153.879,49934.40909090909,11.575.098.835,94.842,94.944,"3,53",1.059.511,"89,78",7.7727272727272725,1.0,6.136363636363637
15,CIUDAD JARDIN,ANTONIO NARIÑO,2.9225000000000003,70750.5,133.239.133.285,65494.75,23.201.141.615,116.828,119.56500000000001,"3,92",1.095.184,"90,79",4.35,1.0,4.85
16,CIUDAD MONTES,PUENTE ARANDA,2.9430232558139533,59670.51111111111,445.578.698.505,60731.48888888889,237.134.316.238,253.63800000000003,250.71499999999997,"3,55",1.116.511,"90,43",2.8,0.8222222222222222,5.4222222222222225
17,LA CANDELARIA,CANDELARIA,2.40875,22622.0,206.024.323.421,24095.0,116.952.210.302,22.621,22.115,"2,83",1.050.888,"88,9",4.777777777777778,0.8888888888888888,4.0
18,QUIROGA,RAFAEL URIBE URIBE,2.476363636363636,80121.6888888889,384.046.822.311,79297.2,226.849.943.649,378.16400000000004,378.78,"3,72",591.317,"87,06",2.511111111111111,0.8,3.0444444444444443
19,JERUSALEM,CIUDAD BOLIVAR,1.4298333333333335,93968.73913043478,537.476.344.439,101520.01449275362,183.622.965.031,570.619,593.937,"4,09",505.335,"83,5",0.43478260869565216,0.21739130434782608,2.1449275362318843
