codigo_upz,area_m2
15,2853777.75358657
86,4606652.488262288
71,7257997.496640695
29,3729660.0360604525
80,1843784.054517365
99,1591749.0215557609
3,4532729.344081712
97,4221089.835549289
94,2058593.3495220488
76,3596809.183622714
114,2613724.415148899
89,1129274.800381838
38,3544319.688847525
52,73900.96080200649
96,1999768.438732903
84,4300373.334817714
111,3561625.327084455
112,4772220.655840273
75,4960613.704523731
12,2904299.8237363873
16,4583304.815160461
82,3170688.592417252
35,1331326.0575262157
68,2106939.6952690845
27,6523787.120776445
22,3359859.3345262045
105,1615759.173262189
104,3983653.171961161
74,5871655.657954121
47,3369445.472697327
70,5370480.361968308
66,1784609.1939374246
65,3060199.7134523867
79,3186801.9053434012
59,2163203.378797158
45,4382430.604339766
20,2845459.430156695
51,3646475.214478266
115,2718918.795580732
43,3290496.236943176
25,3931626.2297239797
56,2885101.7336330097
26,4729644.65907546
102,4505812.705902962
2,6715342.562445539
116,2000841.6191481368
81,1797588.1534196641
52,1801757.391365845
33,2347283.524797307
19,4330560.083197876
41,2526201.6370513635
37,2003023.4027349665
107,1738167.7610405658
73,5545974.374323862
31,3083331.2486366164
58,4926417.361114144
13,6717238.384533687
63,3164820.8372016493
87,5764452.559442946
77,4911970.012743959
39,3751767.5345130973
108,3466760.4660360394
61,9206685.10792275
1,6304466.73182404
46,5027951.052608747
85,7140878.600891832
60,3817142.6025162567
30,4534190.294995
72,4741250.464305547
57,5353704.160747869
23,4201470.474480373
88,3357090.721584612
9,3555028.964003746
109,1803853.128512094
49,2104159.201557665
14,4922965.861670887
32,3997120.372158545
92,852552.315225288
11,2750564.952897207
36,2077808.664659327
53,1843891.212894071
50,3855490.3786364994
110,2255208.8783698212
10,3449871.660662049
42,6633122.931261251
103,1651146.6927978266
21,2745965.1834909543
55,2112641.6885615294
113,2770065.487697783
60,369901.972898668
90,2849704.2942095296
67,5859188.7744017085
83,1471242.9245659406
101,2355120.6595640546
54,3625985.5949305724
78,3430999.9249445824
100,2373778.738467793
34,2623256.779661471
106,1927241.4029255097
91,1466454.0131288017
95,922943.7653378595
40,4452226.308036537
117,7424983.464409176
64,6951190.5063595455
48,4300952.405737725
98,4136954.9198714895
28,7095208.454212119
17,4379218.922498641
24,7559894.600961365
44,3806653.1918713814
62,3269870.4589111423
69,5594496.03307
93,1724356.7672771052
18,3283928.3041343307
