ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial
796.0,61,CIUDAD USME,05,USME,,7950.0,925.470.476.509,13496.0,145.828.530.921,298.992,314.431,"4,07",569.872,"82,91",0.0,0,23.0
795.0,90,PARDO RUBIO,02,CHAPINERO,1.22,19711.0,285.199.005.156,37191.0,130.403.680.685,122.827,122.507,"2,43",2.288.835,"96,61",2.0,1,23.0
798.0,70,JERUSALEM,19,CIUDAD BOLIVAR,,87775.0,537.476.344.439,98693.0,183.622.965.031,570.619,593.937,"4,09",505.335,"83,5",0.0,0,1.0
83.0,13,LOS CEDROS,01,USAQUEN,4.59,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,6.0
854.0,11,SAN CRISTOBAL NORTE,01,USAQUEN,2.0,62234.0,275.277.506.205,72680.0,264.024.478.433,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,3.0
57.0,11,SAN CRISTOBAL NORTE,01,USAQUEN,1.44,62234.0,275.277.506.205,72680.0,264.024.478.433,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,2.0
20.0,10,LA URIBE,01,USAQUEN,2.09,13585.0,3.452.642.542,17055.0,493.969.468.097,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,2.0
18.0,10,LA URIBE,01,USAQUEN,1.5,13585.0,3.452.642.542,17055.0,493.969.468.097,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,1.0
19.0,10,LA URIBE,01,USAQUEN,2.0,13585.0,3.452.642.542,17055.0,493.969.468.097,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,0.0
84.0,13,LOS CEDROS,01,USAQUEN,6.0,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,0.0
559.0,87,TINTAL SUR,07,BOSA,,26624.0,576.903.769.222,42439.0,735.633.952.561,508.828,546.809,"3,98",703.807,"85,4",0.0,0,4.0
561.0,87,TINTAL SUR,07,BOSA,1.06,26624.0,576.903.769.222,42439.0,735.633.952.561,508.828,546.809,"3,98",703.807,"85,4",0.0,0,4.0
947.0,85,BOSA CENTRAL,07,BOSA,1.99,211484.0,714.656.412.136,221236.0,309.569.740.428,508.828,546.809,"3,98",703.807,"85,4",0.0,0,6.0
