ZAT,estrato_mean
810.0,
809.0,
823.0,
822.0,
821.0,
796.0,
800.0,
811.0,
820.0,
812.0,
819.0,
824.0,
801.0,
815.0,
1829.0,
818.0,
816.0,
807.0,
808.0,
795.0,1.22
802.0,
916.0,
799.0,
798.0,
797.0,
83.0,4.59
854.0,2.0
57.0,1.44
20.0,2.09
18.0,1.5
19.0,2.0
84.0,6.0
559.0,
561.0,1.06
947.0,1.99
569.0,2.0
570.0,2.0
804.0,
82.0,4.6
85.0,5.71
81.0,4.0
80.0,5.0
79.0,4.0
78.0,4.0
193.0,2.0
793.0,
304.0,3.0
1841.0,
1.0,
308.0,2.0
805.0,
310.0,2.56
405.0,2.07
407.0,2.0
119.0,
76.0,4.94
75.0,4.17
74.0,4.0
73.0,4.0
72.0,4.0
87.0,5.79
86.0,5.0
154.0,2.87
194.0,2.0
195.0,2.01
196.0,2.0
197.0,2.0
201.0,2.91
191.0,3.0
190.0,2.01
302.0,3.4
192.0,2.68
189.0,3.0
120.0,3.0
187.0,3.0
188.0,3.0
37.0,2.06
38.0,3.0
36.0,2.78
35.0,
33.0,2.07
34.0,
840.0,2.57
836.0,2.72
97.0,5.96
837.0,2.67
99.0,2.84
98.0,5.69
31.0,3.83
30.0,4.38
107.0,2.84
112.0,2.01
41.0,3.25
104.0,2.0
40.0,3.0
39.0,2.2
88.0,5.0
69.0,4.57
70.0,4.0
71.0,5.0
62.0,4.0
51.0,3.8
122.0,1.92
123.0,2.99
185.0,3.0
186.0,3.0
199.0,3.0
121.0,1.96
103.0,2.0
102.0,3.0
101.0,1.84
100.0,2.01
105.0,2.0
96.0,5.0
132.0,6.0
95.0,4.0
839.0,4.92
89.0,3.26
68.0,3.0
93.0,4.67
67.0,3.68
92.0,4.21
44.0,3.11
66.0,4.13
45.0,4.0
46.0,3.18
126.0,2.23
125.0,3.0
129.0,3.0
184.0,3.0
183.0,3.0
127.0,4.5
91.0,3.0
140.0,5.0
139.0,5.0
852.0,5.52
138.0,4.98
133.0,5.0
147.0,5.97
851.0,6.0
143.0,5.0
142.0,5.0
167.0,4.54
153.0,5.0
152.0,4.55
148.0,5.98
850.0,6.0
849.0,5.85
764.0,
770.0,
668.0,
713.0,1.0
714.0,1.0
721.0,1.0
771.0,
772.0,
769.0,1.0
666.0,1.0
667.0,1.0
669.0,1.0
671.0,
776.0,
774.0,
778.0,
777.0,
782.0,
544.0,2.0
545.0,2.0
766.0,
543.0,2.0
775.0,
945.0,1.14
623.0,1.01
768.0,1.0
567.0,2.0
568.0,2.0
553.0,1.43
555.0,2.0
556.0,2.0
558.0,2.0
554.0,1.05
560.0,1.88
563.0,2.0
530.0,2.0
624.0,1.0
625.0,1.08
665.0,1.0
565.0,2.0
566.0,2.0
564.0,2.0
548.0,2.0
550.0,2.0
552.0,2.0
551.0,2.0
786.0,
787.0,
788.0,
781.0,
783.0,
784.0,
780.0,
779.0,
785.0,
765.0,
557.0,2.0
248.0,6.0
244.0,6.0
264.0,6.0
265.0,6.0
158.0,4.0
250.0,4.92
266.0,1.45
484.0,2.0
479.0,
478.0,
477.0,2.94
485.0,2.0
156.0,6.0
157.0,
243.0,6.0
263.0,6.0
262.0,6.0
261.0,6.0
260.0,6.0
245.0,5.7
252.0,4.4
253.0,5.55
847.0,4.57
251.0,2.79
482.0,2.0
475.0,1.89
458.0,2.33
476.0,2.0
480.0,1.33
456.0,3.0
993.0,3.0
350.0,2.15
486.0,1.97
487.0,2.0
155.0,4.6
151.0,3.12
259.0,5.92
149.0,5.18
150.0,5.75
258.0,6.0
257.0,6.0
256.0,5.44
242.0,5.0
488.0,1.28
473.0,2.0
460.0,2.11
474.0,2.0
459.0,3.0
457.0,3.0
664.0,1.02
165.0,6.0
164.0,6.0
168.0,4.0
241.0,5.0
224.0,3.0
246.0,5.0
472.0,1.92
491.0,1.0
471.0,2.0
461.0,2.0
489.0,1.0
490.0,1.73
492.0,2.0
452.0,2.0
493.0,
602.0,1.86
453.0,2.83
604.0,1.0
443.0,3.0
454.0,3.0
465.0,2.25
470.0,2.08
469.0,2.91
462.0,2.0
494.0,2.9
621.0,1.69
963.0,2.0
662.0,2.0
661.0,2.0
663.0,1.93
670.0,1.0
672.0,1.96
712.0,1.0
622.0,1.0
442.0,2.69
355.0,2.7
455.0,3.0
463.0,3.0
464.0,3.0
466.0,3.0
451.0,2.0
468.0,3.0
446.0,3.0
969.0,2.82
445.0,3.0
444.0,3.0
449.0,3.0
448.0,3.0
500.0,3.0
499.0,3.0
467.0,3.0
498.0,3.0
497.0,3.0
968.0,2.33
620.0,2.78
572.0,3.0
627.0,2.0
628.0,2.0
629.0,2.0
630.0,
659.0,
660.0,2.0
573.0,2.0
450.0,2.33
447.0,3.0
438.0,3.0
434.0,3.0
439.0,3.0
432.0,3.0
433.0,3.0
440.0,3.0
501.0,3.0
619.0,2.0
618.0,2.02
631.0,3.0
632.0,
987.0,3.0
657.0,2.22
658.0,1.98
675.0,1.34
674.0,1.02
634.0,3.0
979.0,1.98
677.0,2.0
676.0,
708.0,2.0
709.0,2.0
710.0,2.0
711.0,1.0
502.0,3.0
437.0,3.0
436.0,3.0
431.0,3.0
435.0,3.0
430.0,3.0
