ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,accesibilidad_arterial
810.0,,,,,2.0
809.0,,,,,1.0
823.0,,,,,0.0
822.0,,,,,0.0
821.0,,,,,0.0
796.0,61,CIUDAD USME,05,USME,23.0
800.0,,,,,1.0
811.0,,,,,0.0
820.0,,,,,0.0
812.0,,,,,0.0
819.0,,,,,0.0
824.0,,,,,0.0
801.0,,,,,0.0
815.0,,,,,0.0
1829.0,,,,,0.0
818.0,,,,,0.0
816.0,,,,,0.0
807.0,,,,,0.0
808.0,,,,,0.0
795.0,90,PARDO RUBIO,02,CHAPINERO,23.0
802.0,,,,,0.0
916.0,,,,,0.0
799.0,,,,,0.0
798.0,70,JERUSALEM,19,CIUDAD BOLIVAR,1.0
797.0,,,,,5.0
83.0,13,LOS CEDROS,01,USAQUEN,6.0
854.0,11,SAN CRISTOBAL NORTE,01,USAQUEN,3.0
57.0,11,SAN CRISTOBAL NORTE,01,USAQUEN,2.0
20.0,10,LA URIBE,01,USAQUEN,2.0
18.0,10,LA URIBE,01,USAQUEN,1.0
19.0,10,LA URIBE,01,USAQUEN,0.0
84.0,13,LOS CEDROS,01,USAQUEN,0.0
559.0,87,TINTAL SUR,07,BOSA,4.0
561.0,87,TINTAL SUR,07,BOSA,4.0
947.0,85,BOSA CENTRAL,07,BOSA,6.0
569.0,85,BOSA CENTRAL,07,BOSA,6.0
570.0,85,BOSA CENTRAL,07,BOSA,2.0
804.0,,,,,0.0
82.0,13,LOS CEDROS,01,USAQUEN,5.0
85.0,14,USAQUEN,01,USAQUEN,2.0
81.0,13,LOS CEDROS,01,USAQUEN,2.0
80.0,13,LOS CEDROS,01,USAQUEN,2.0
79.0,13,LOS CEDROS,01,USAQUEN,2.0
78.0,13,LOS CEDROS,01,USAQUEN,5.0
193.0,74,ENGATIVA,10,ENGATIVA,1.0
793.0,,,,,0.0
304.0,117,AEROPUERTO EL DORADO,09,FONTIBON,16.0
1841.0,,,,,0.0
1.0,2,LA ACADEMIA,11,SUBA,5.0
308.0,76,FONTIBON SAN PABLO,09,FONTIBON,3.0
805.0,,,,,0.0
310.0,76,FONTIBON SAN PABLO,09,FONTIBON,10.0
405.0,77,ZONA FRANCA,09,FONTIBON,3.0
407.0,77,ZONA FRANCA,09,FONTIBON,3.0
119.0,72,BOLIVIA,10,ENGATIVA,1.0
76.0,13,LOS CEDROS,01,USAQUEN,5.0
75.0,13,LOS CEDROS,01,USAQUEN,2.0
74.0,13,LOS CEDROS,01,USAQUEN,2.0
73.0,13,LOS CEDROS,01,USAQUEN,5.0
72.0,13,LOS CEDROS,01,USAQUEN,8.0
87.0,15,COUNTRY CLUB,01,USAQUEN,13.0
86.0,14,USAQUEN,01,USAQUEN,8.0
154.0,14,USAQUEN,01,USAQUEN,3.0
194.0,74,ENGATIVA,10,ENGATIVA,0.0
195.0,74,ENGATIVA,10,ENGATIVA,2.0
196.0,74,ENGATIVA,10,ENGATIVA,8.0
197.0,74,ENGATIVA,10,ENGATIVA,3.0
201.0,116,ALAMOS,10,ENGATIVA,8.0
191.0,73,GARCES NAVAS,10,ENGATIVA,4.0
190.0,73,GARCES NAVAS,10,ENGATIVA,9.0
302.0,116,ALAMOS,10,ENGATIVA,9.0
192.0,73,GARCES NAVAS,10,ENGATIVA,8.0
189.0,73,GARCES NAVAS,10,ENGATIVA,4.0
120.0,72,BOLIVIA,10,ENGATIVA,6.0
187.0,73,GARCES NAVAS,10,ENGATIVA,9.0
188.0,73,GARCES NAVAS,10,ENGATIVA,3.0
37.0,71,TIBABUYES,11,SUBA,6.0
38.0,27,SUBA,11,SUBA,4.0
36.0,71,TIBABUYES,11,SUBA,5.0
35.0,,,,,3.0
33.0,27,SUBA,11,SUBA,13.0
34.0,,,,,2.0
840.0,27,SUBA,11,SUBA,0.0
836.0,27,SUBA,11,SUBA,3.0
97.0,24,NIZA,11,SUBA,3.0
837.0,23,CASA BLANCA SUBA,11,SUBA,6.0
99.0,28,EL RINCON,11,SUBA,4.0
98.0,24,NIZA,11,SUBA,1.0
31.0,27,SUBA,11,SUBA,1.0
30.0,23,CASA BLANCA SUBA,11,SUBA,9.0
107.0,28,EL RINCON,11,SUBA,5.0
112.0,28,EL RINCON,11,SUBA,6.0
41.0,27,SUBA,11,SUBA,7.0
104.0,28,EL RINCON,11,SUBA,1.0
40.0,27,SUBA,11,SUBA,4.0
39.0,27,SUBA,11,SUBA,3.0
88.0,15,COUNTRY CLUB,01,USAQUEN,8.0
69.0,13,LOS CEDROS,01,USAQUEN,10.0
70.0,13,LOS CEDROS,01,USAQUEN,5.0
71.0,13,LOS CEDROS,01,USAQUEN,5.0
62.0,13,LOS CEDROS,01,USAQUEN,8.0
51.0,12,TOBERIN,01,USAQUEN,12.0
122.0,29,MINUTO DE DIOS,10,ENGATIVA,4.0
123.0,29,MINUTO DE DIOS,10,ENGATIVA,3.0
185.0,30,BOYACA REAL,10,ENGATIVA,5.0
186.0,30,BOYACA REAL,10,ENGATIVA,4.0
199.0,30,BOYACA REAL,10,ENGATIVA,4.0
121.0,29,MINUTO DE DIOS,10,ENGATIVA,2.0
103.0,28,EL RINCON,11,SUBA,3.0
102.0,24,NIZA,11,SUBA,1.0
101.0,28,EL RINCON,11,SUBA,3.0
100.0,28,EL RINCON,11,SUBA,1.0
105.0,28,EL RINCON,11,SUBA,3.0
96.0,24,NIZA,11,SUBA,5.0
132.0,24,NIZA,11,SUBA,3.0
95.0,24,NIZA,11,SUBA,5.0
839.0,24,NIZA,11,SUBA,6.0
89.0,19,EL PRADO,11,SUBA,6.0
68.0,19,EL PRADO,11,SUBA,4.0
93.0,24,NIZA,11,SUBA,12.0
67.0,19,EL PRADO,11,SUBA,10.0
92.0,24,NIZA,11,SUBA,5.0
44.0,23,CASA BLANCA SUBA,11,SUBA,6.0
66.0,19,EL PRADO,11,SUBA,5.0
45.0,23,CASA BLANCA SUBA,11,SUBA,2.0
46.0,18,BRITALIA,11,SUBA,6.0
126.0,28,EL RINCON,11,SUBA,2.0
125.0,29,MINUTO DE DIOS,10,ENGATIVA,6.0
129.0,29,MINUTO DE DIOS,10,ENGATIVA,3.0
184.0,30,BOYACA REAL,10,ENGATIVA,3.0
183.0,30,BOYACA REAL,10,ENGATIVA,2.0
127.0,25,LA FLORESTA,11,SUBA,5.0
91.0,19,EL PRADO,11,SUBA,3.0
140.0,20,LA ALHAMBRA,11,SUBA,5.0
139.0,24,NIZA,11,SUBA,8.0
852.0,16,SANTA BARBARA,01,USAQUEN,8.0
138.0,20,LA ALHAMBRA,11,SUBA,10.0
133.0,24,NIZA,11,SUBA,5.0
147.0,16,SANTA BARBARA,01,USAQUEN,11.0
851.0,16,SANTA BARBARA,01,USAQUEN,5.0
143.0,20,LA ALHAMBRA,11,SUBA,3.0
142.0,20,LA ALHAMBRA,11,SUBA,1.0
167.0,21,LOS ANDES,12,BARRIOS UNIDOS,7.0
153.0,14,USAQUEN,01,USAQUEN,8.0
152.0,14,USAQUEN,01,USAQUEN,7.0
148.0,16,SANTA BARBARA,01,USAQUEN,10.0
850.0,16,SANTA BARBARA,01,USAQUEN,5.0
849.0,97,CHICO LAGO,02,CHAPINERO,11.0
764.0,61,CIUDAD USME,05,USME,3.0
770.0,,,,,0.0
668.0,70,JERUSALEM,19,CIUDAD BOLIVAR,1.0
713.0,67,LUCERO,19,CIUDAD BOLIVAR,3.0
714.0,67,LUCERO,19,CIUDAD BOLIVAR,0.0
721.0,67,LUCERO,19,CIUDAD BOLIVAR,0.0
771.0,,,,,0.0
772.0,,,,,0.0
769.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR,0.0
666.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR,0.0
667.0,70,JERUSALEM,19,CIUDAD BOLIVAR,1.0
669.0,70,JERUSALEM,19,CIUDAD BOLIVAR,6.0
671.0,70,JERUSALEM,19,CIUDAD BOLIVAR,2.0
776.0,,,,,0.0
774.0,,,,,0.0
778.0,,,,,0.0
777.0,,,,,0.0
782.0,,,,,0.0
544.0,85,BOSA CENTRAL,07,BOSA,9.0
545.0,48,TIMIZA,08,KENNEDY,0.0
766.0,85,BOSA CENTRAL,07,BOSA,0.0
543.0,49,APOGEO,07,BOSA,3.0
775.0,,,,,0.0
945.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR,4.0
623.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR,1.0
768.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR,0.0
567.0,85,BOSA CENTRAL,07,BOSA,1.0
568.0,85,BOSA CENTRAL,07,BOSA,5.0
553.0,86,EL PORVENIR,07,BOSA,8.0
555.0,86,EL PORVENIR,07,BOSA,2.0
556.0,86,EL PORVENIR,07,BOSA,9.0
558.0,87,TINTAL SUR,07,BOSA,15.0
554.0,86,EL PORVENIR,07,BOSA,5.0
560.0,84,BOSA OCCIDENTAL,07,BOSA,7.0
563.0,84,BOSA OCCIDENTAL,07,BOSA,3.0
530.0,83,LAS MARGARITAS,08,KENNEDY,7.0
624.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR,0.0
625.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR,2.0
665.0,70,JERUSALEM,19,CIUDAD BOLIVAR,3.0
565.0,85,BOSA CENTRAL,07,BOSA,5.0
566.0,85,BOSA CENTRAL,07,BOSA,1.0
564.0,84,BOSA OCCIDENTAL,07,BOSA,4.0
548.0,81,GRAN BRITALIA,08,KENNEDY,6.0
550.0,84,BOSA OCCIDENTAL,07,BOSA,6.0
552.0,84,BOSA OCCIDENTAL,07,BOSA,2.0
551.0,84,BOSA OCCIDENTAL,07,BOSA,8.0
786.0,,,,,0.0
787.0,,,,,0.0
788.0,,,,,0.0
781.0,,,,,0.0
783.0,,,,,0.0
784.0,,,,,0.0
780.0,,,,,0.0
779.0,,,,,0.0
785.0,,,,,0.0
765.0,85,BOSA CENTRAL,07,BOSA,0.0
557.0,87,TINTAL SUR,07,BOSA,8.0
248.0,88,EL REFUGIO,02,CHAPINERO,3.0
244.0,88,EL REFUGIO,02,CHAPINERO,3.0
264.0,88,EL REFUGIO,02,CHAPINERO,9.0
265.0,88,EL REFUGIO,02,CHAPINERO,12.0
158.0,14,USAQUEN,01,USAQUEN,2.0
250.0,90,PARDO RUBIO,02,CHAPINERO,2.0
266.0,90,PARDO RUBIO,02,CHAPINERO,2.0
484.0,96,LOURDES,03,SANTA FE,0.0
479.0,92,LA MACARENA,03,SANTA FE,2.0
