ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,num_est_transmi,acceso_transmi
810.0,,,,,0.0,0
809.0,,,,,0.0,0
823.0,,,,,0.0,0
822.0,,,,,0.0,0
821.0,,,,,0.0,0
796.0,61,CIUDAD USME,05,USME,0.0,0
800.0,,,,,0.0,0
811.0,,,,,0.0,0
820.0,,,,,0.0,0
812.0,,,,,0.0,0
819.0,,,,,0.0,0
824.0,,,,,0.0,0
801.0,,,,,0.0,0
815.0,,,,,0.0,0
1829.0,,,,,0.0,0
818.0,,,,,0.0,0
816.0,,,,,0.0,0
807.0,,,,,0.0,0
808.0,,,,,0.0,0
795.0,90,PARDO RUBIO,02,CHAPINERO,2.0,1
802.0,,,,,0.0,0
916.0,,,,,0.0,0
799.0,,,,,0.0,0
798.0,70,JERUSALEM,19,CIUDAD BOLIVAR,0.0,0
797.0,,,,,0.0,0
83.0,13,LOS CEDROS,01,USAQUEN,0.0,0
854.0,11,SAN CRISTOBAL NORTE,01,USAQUEN,0.0,0
57.0,11,SAN CRISTOBAL NORTE,01,USAQUEN,0.0,0
20.0,10,LA URIBE,01,USAQUEN,0.0,0
18.0,10,LA URIBE,01,USAQUEN,0.0,0
19.0,10,LA URIBE,01,USAQUEN,0.0,0
84.0,13,LOS CEDROS,01,USAQUEN,0.0,0
559.0,87,TINTAL SUR,07,BOSA,0.0,0
561.0,87,TINTAL SUR,07,BOSA,0.0,0
947.0,85,BOSA CENTRAL,07,BOSA,0.0,0
569.0,85,BOSA CENTRAL,07,BOSA,2.0,1
570.0,85,BOSA CENTRAL,07,BOSA,0.0,0
804.0,,,,,0.0,0
82.0,13,LOS CEDROS,01,USAQUEN,0.0,0
85.0,14,USAQUEN,01,USAQUEN,0.0,0
81.0,13,LOS CEDROS,01,USAQUEN,0.0,0
80.0,13,LOS CEDROS,01,USAQUEN,0.0,0
79.0,13,LOS CEDROS,01,USAQUEN,0.0,0
78.0,13,LOS CEDROS,01,USAQUEN,0.0,0
193.0,74,ENGATIVA,10,ENGATIVA,0.0,0
793.0,,,,,0.0,0
304.0,117,AEROPUERTO EL DORADO,09,FONTIBON,1.0,1
1841.0,,,,,0.0,0
1.0,2,LA ACADEMIA,11,SUBA,0.0,0
308.0,76,FONTIBON SAN PABLO,09,FONTIBON,0.0,0
805.0,,,,,0.0,0
310.0,76,FONTIBON SAN PABLO,09,FONTIBON,0.0,0
405.0,77,ZONA FRANCA,09,FONTIBON,0.0,0
407.0,77,ZONA FRANCA,09,FONTIBON,0.0,0
119.0,72,BOLIVIA,10,ENGATIVA,0.0,0
76.0,13,LOS CEDROS,01,USAQUEN,0.0,0
75.0,13,LOS CEDROS,01,USAQUEN,0.0,0
74.0,13,LOS CEDROS,01,USAQUEN,0.0,0
73.0,13,LOS CEDROS,01,USAQUEN,0.0,0
72.0,13,LOS CEDROS,01,USAQUEN,0.0,0
87.0,15,COUNTRY CLUB,01,USAQUEN,3.0,1
86.0,14,USAQUEN,01,USAQUEN,0.0,0
154.0,14,USAQUEN,01,USAQUEN,0.0,0
194.0,74,ENGATIVA,10,ENGATIVA,0.0,0
195.0,74,ENGATIVA,10,ENGATIVA,0.0,0
196.0,74,ENGATIVA,10,ENGATIVA,0.0,0
197.0,74,ENGATIVA,10,ENGATIVA,0.0,0
201.0,116,ALAMOS,10,ENGATIVA,0.0,0
191.0,73,GARCES NAVAS,10,ENGATIVA,0.0,0
190.0,73,GARCES NAVAS,10,ENGATIVA,0.0,0
302.0,116,ALAMOS,10,ENGATIVA,3.0,1
192.0,73,GARCES NAVAS,10,ENGATIVA,0.0,0
189.0,73,GARCES NAVAS,10,ENGATIVA,0.0,0
120.0,72,BOLIVIA,10,ENGATIVA,3.0,1
187.0,73,GARCES NAVAS,10,ENGATIVA,3.0,1
188.0,73,GARCES NAVAS,10,ENGATIVA,1.0,1
37.0,71,TIBABUYES,11,SUBA,0.0,0
38.0,27,SUBA,11,SUBA,0.0,0
36.0,71,TIBABUYES,11,SUBA,0.0,0
35.0,,,,,0.0,0
33.0,27,SUBA,11,SUBA,0.0,0
34.0,,,,,0.0,0
840.0,27,SUBA,11,SUBA,0.0,0
836.0,27,SUBA,11,SUBA,3.0,1
97.0,24,NIZA,11,SUBA,4.0,1
837.0,23,CASA BLANCA SUBA,11,SUBA,2.0,1
99.0,28,EL RINCON,11,SUBA,2.0,1
98.0,24,NIZA,11,SUBA,4.0,1
31.0,27,SUBA,11,SUBA,0.0,0
30.0,23,CASA BLANCA SUBA,11,SUBA,0.0,0
107.0,28,EL RINCON,11,SUBA,4.0,1
112.0,28,EL RINCON,11,SUBA,0.0,0
41.0,27,SUBA,11,SUBA,3.0,1
104.0,28,EL RINCON,11,SUBA,0.0,0
40.0,27,SUBA,11,SUBA,2.0,1
39.0,27,SUBA,11,SUBA,1.0,1
88.0,15,COUNTRY CLUB,01,USAQUEN,3.0,1
69.0,13,LOS CEDROS,01,USAQUEN,5.0,1
70.0,13,LOS CEDROS,01,USAQUEN,4.0,1
71.0,13,LOS CEDROS,01,USAQUEN,3.0,1
