ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad
810.0,,,,
809.0,,,,
823.0,,,,
822.0,,,,
821.0,,,,
796.0,61,CIUDAD USME,05,USME
800.0,,,,
811.0,,,,
820.0,,,,
812.0,,,,
819.0,,,,
824.0,,,,
801.0,,,,
815.0,,,,
1829.0,,,,
818.0,,,,
816.0,,,,
807.0,,,,
808.0,,,,
795.0,90,PARDO RUBIO,02,CHAPINERO
802.0,,,,
916.0,,,,
799.0,,,,
798.0,70,JERUSALEM,19,CIUDAD BOLIVAR
797.0,,,,
83.0,13,LOS CEDROS,01,USAQUEN
854.0,11,SAN CRISTOBAL NORTE,01,USAQUEN
57.0,11,SAN CRISTOBAL NORTE,01,USAQUEN
20.0,10,LA URIBE,01,USAQUEN
18.0,10,LA URIBE,01,USAQUEN
19.0,10,LA URIBE,01,USAQUEN
84.0,13,LOS CEDROS,01,USAQUEN
559.0,87,TINTAL SUR,07,BOSA
561.0,87,TINTAL SUR,07,BOSA
947.0,85,BOSA CENTRAL,07,BOSA
569.0,85,BOSA CENTRAL,07,BOSA
570.0,85,BOSA CENTRAL,07,BOSA
804.0,,,,
82.0,13,LOS CEDROS,01,USAQUEN
85.0,14,USAQUEN,01,USAQUEN
81.0,13,LOS CEDROS,01,USAQUEN
80.0,13,LOS CEDROS,01,USAQUEN
79.0,13,LOS CEDROS,01,USAQUEN
78.0,13,LOS CEDROS,01,USAQUEN
193.0,74,ENGATIVA,10,ENGATIVA
793.0,,,,
304.0,117,AEROPUERTO EL DORADO,09,FONTIBON
1841.0,,,,
1.0,2,LA ACADEMIA,11,SUBA
308.0,76,FONTIBON SAN PABLO,09,FONTIBON
805.0,,,,
310.0,76,FONTIBON SAN PABLO,09,FONTIBON
405.0,77,ZONA FRANCA,09,FONTIBON
407.0,77,ZONA FRANCA,09,FONTIBON
119.0,72,BOLIVIA,10,ENGATIVA
76.0,13,LOS CEDROS,01,USAQUEN
75.0,13,LOS CEDROS,01,USAQUEN
74.0,13,LOS CEDROS,01,USAQUEN
73.0,13,LOS CEDROS,01,USAQUEN
72.0,13,LOS CEDROS,01,USAQUEN
87.0,15,COUNTRY CLUB,01,USAQUEN
86.0,14,USAQUEN,01,USAQUEN
154.0,14,USAQUEN,01,USAQUEN
194.0,74,ENGATIVA,10,ENGATIVA
195.0,74,ENGATIVA,10,ENGATIVA
196.0,74,ENGATIVA,10,ENGATIVA
197.0,74,ENGATIVA,10,ENGATIVA
201.0,116,ALAMOS,10,ENGATIVA
191.0,73,GARCES NAVAS,10,ENGATIVA
190.0,73,GARCES NAVAS,10,ENGATIVA
302.0,116,ALAMOS,10,ENGATIVA
192.0,73,GARCES NAVAS,10,ENGATIVA
189.0,73,GARCES NAVAS,10,ENGATIVA
120.0,72,BOLIVIA,10,ENGATIVA
187.0,73,GARCES NAVAS,10,ENGATIVA
188.0,73,GARCES NAVAS,10,ENGATIVA
37.0,71,TIBABUYES,11,SUBA
38.0,27,SUBA,11,SUBA
36.0,71,TIBABUYES,11,SUBA
35.0,,,,
33.0,27,SUBA,11,SUBA
34.0,,,,
840.0,27,SUBA,11,SUBA
836.0,27,SUBA,11,SUBA
97.0,24,NIZA,11,SUBA
837.0,23,CASA BLANCA SUBA,11,SUBA
99.0,28,EL RINCON,11,SUBA
98.0,24,NIZA,11,SUBA
31.0,27,SUBA,11,SUBA
30.0,23,CASA BLANCA SUBA,11,SUBA
107.0,28,EL RINCON,11,SUBA
112.0,28,EL RINCON,11,SUBA
41.0,27,SUBA,11,SUBA
104.0,28,EL RINCON,11,SUBA
40.0,27,SUBA,11,SUBA
39.0,27,SUBA,11,SUBA
88.0,15,COUNTRY CLUB,01,USAQUEN
69.0,13,LOS CEDROS,01,USAQUEN
70.0,13,LOS CEDROS,01,USAQUEN
71.0,13,LOS CEDROS,01,USAQUEN
62.0,13,LOS CEDROS,01,USAQUEN
51.0,12,TOBERIN,01,USAQUEN
122.0,29,MINUTO DE DIOS,10,ENGATIVA
123.0,29,MINUTO DE DIOS,10,ENGATIVA
185.0,30,BOYACA REAL,10,ENGATIVA
186.0,30,BOYACA REAL,10,ENGATIVA
199.0,30,BOYACA REAL,10,ENGATIVA
121.0,29,MINUTO DE DIOS,10,ENGATIVA
103.0,28,EL RINCON,11,SUBA
102.0,24,NIZA,11,SUBA
101.0,28,EL RINCON,11,SUBA
100.0,28,EL RINCON,11,SUBA
105.0,28,EL RINCON,11,SUBA
96.0,24,NIZA,11,SUBA
132.0,24,NIZA,11,SUBA
95.0,24,NIZA,11,SUBA
839.0,24,NIZA,11,SUBA
89.0,19,EL PRADO,11,SUBA
68.0,19,EL PRADO,11,SUBA
93.0,24,NIZA,11,SUBA
67.0,19,EL PRADO,11,SUBA
92.0,24,NIZA,11,SUBA
44.0,23,CASA BLANCA SUBA,11,SUBA
66.0,19,EL PRADO,11,SUBA
45.0,23,CASA BLANCA SUBA,11,SUBA
46.0,18,BRITALIA,11,SUBA
126.0,28,EL RINCON,11,SUBA
125.0,29,MINUTO DE DIOS,10,ENGATIVA
129.0,29,MINUTO DE DIOS,10,ENGATIVA
184.0,30,BOYACA REAL,10,ENGATIVA
