zat,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localida,gasto_promedio_mensual_2007_loca,icv_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial
1,2011,0,0,0,0,0,0,0,0,1,2,LA ACADEMIA,11,SUBA,,703,672.073.080.488,920,136.889.875.031,923.06403,981.61298,"3,41",1.388.086,"91,6",0,0,5
1,2023,0,0,0,0,0,0,0,0,1,2,LA ACADEMIA,11,SUBA,,703,672.073.080.488,920,136.889.875.031,923.06403,981.61298,"3,41",1.388.086,"91,6",0,0,5
1,2015,0,0,0,0,0,0,0,0,1,2,LA ACADEMIA,11,SUBA,,703,672.073.080.488,920,136.889.875.031,923.06403,981.61298,"3,41",1.388.086,"91,6",0,0,5
1,2019,0,0,0,0,0,0,0,0,1,2,LA ACADEMIA,11,SUBA,,703,672.073.080.488,920,136.889.875.031,923.06403,981.61298,"3,41",1.388.086,"91,6",0,0,5
2,2019,0,0,0,0,0,0,0,0,1,3,GUAYMARAL,11,SUBA,,0,453.636.704.291,167,0.368135996096,923.06403,981.61298,"3,41",1.388.086,"91,6",0,0,5
2,2015,0,0,0,0,0,0,0,0,1,3,GUAYMARAL,11,SUBA,,0,453.636.704.291,167,0.368135996096,923.06403,981.61298,"3,41",1.388.086,"91,6",0,0,5
2,2011,0,0,0,0,0,0,0,0,1,3,GUAYMARAL,11,SUBA,,0,453.636.704.291,167,0.368135996096,923.06403,981.61298,"3,41",1.388.086,"91,6",0,0,5
2,2023,0,0,0,0,0,0,0,0,1,3,GUAYMARAL,11,SUBA,,0,453.636.704.291,167,0.368135996096,923.06403,981.61298,"3,41",1.388.086,"91,6",0,0,5
3,2019,0,0,0,0,0,0,0,0,1,1,PASEO DE LOS LIBERTADORES,1,USAQUEN,6,2916,630.952.898.115,3546,562.007.086.518,425.19199,430.15601,"3,12",1.867.529,"93,6",0,0,11
3,2015,0,0,0,0,0,0,0,0,1,1,PASEO DE LOS LIBERTADORES,1,USAQUEN,6,2916,630.952.898.115,3546,562.007.086.518,425.19199,430.15601,"3,12",1.867.529,"93,6",0,0,11
3,2011,0,0,0,0,0,0,0,0,1,1,PASEO DE LOS LIBERTADORES,1,USAQUEN,6,2916,630.952.898.115,3546,562.007.086.518,425.19199,430.15601,"3,12",1.867.529,"93,6",0,0,11
3,2023,0,0,0,0,0,0,0,0,1,1,PASEO DE LOS LIBERTADORES,1,USAQUEN,6,2916,630.952.898.115,3546,562.007.086.518,425.19199,430.15601,"3,12",1.867.529,"93,6",0,0,11
4,2023,0,0,0,0,0,0,0,0,1,2,LA ACADEMIA,11,SUBA,,703,672.073.080.488,920,136.889.875.031,923.06403,981.61298,"3,41",1.388.086,"91,6",0,0,9
4,2015,0,0,0,0,0,0,0,0,1,2,LA ACADEMIA,11,SUBA,,703,672.073.080.488,920,136.889.875.031,923.06403,981.61298,"3,41",1.388.086,"91,6",0,0,9
4,2011,0,0,0,0,0,0,0,0,1,2,LA ACADEMIA,11,SUBA,,703,672.073.080.488,920,136.889.875.031,923.06403,981.61298,"3,41",1.388.086,"91,6",0,0,9
4,2019,0,0,0,0,0,0,0,0,1,2,LA ACADEMIA,11,SUBA,,703,672.073.080.488,920,136.889.875.031,923.06403,981.61298,"3,41",1.388.086,"91,6",0,0,9
5,2019,0,0,0,0,0,0,0,0,1,1,PASEO DE LOS LIBERTADORES,1,USAQUEN,,2916,630.952.898.115,3546,562.007.086.518,425.19199,430.15601,"3,12",1.867.529,"93,6",0,0,4
5,2011,0,0,0,0,0,0,0,0,1,1,PASEO DE LOS LIBERTADORES,1,USAQUEN,,2916,630.952.898.115,3546,562.007.086.518,425.19199,430.15601,"3,12",1.867.529,"93,6",0,0,4
5,2015,0,0,0,0,0,0,0,0,1,1,PASEO DE LOS LIBERTADORES,1,USAQUEN,,2916,630.952.898.115,3546,562.007.086.518,425.19199,430.15601,"3,12",1.867.529,"93,6",0,0,4
