"ZAT","codigo_upz","nombre_upz","codigo_localidad","nombre_localidad","estrato_mean","poblacion_2005","area_urbana_2009","poblacion_urbana_2009","densidad_urbana_2009","poblacion_por_localidad_2005","personas_por_localidad_2007","personas_por_hogar_2007_localidad","gasto_promedio_mensual_2007_localidad","ICV_2007_localidad","num_est_transmi","acceso_transmi","accesibilidad_arterial"
"1","2","LA ACADEMIA","11","SUBA","","703","672.073.080.488","920","136.889.875.031","923.064","981.613","3,41","1.388.086","91,6","0","0","5"
"2","3","GUAYMARAL","11","SUBA","","0","453.636.704.291","167","0.368135996096","923.064","981.613","3,41","1.388.086","91,6","0","0","5"
"3","1","PASEO DE LOS LIBERTADORES","1","USAQUEN","6","2916","630.952.898.115","3546","562.007.086.518","425.192","430.156","3,12","1.867.529","93,6","0","0","11"
"4","2","LA ACADEMIA","11","SUBA","","703","672.073.080.488","920","136.889.875.031","923.064","981.613","3,41","1.388.086","91,6","0","0","9"
"5","1","PASEO DE LOS LIBERTADORES","1","USAQUEN","","2916","630.952.898.115","3546","562.007.086.518","425.192","430.156","3,12","1.867.529","93,6","0","0","4"
"6","1","PASEO DE LOS LIBERTADORES","1","USAQUEN","","2916","630.952.898.115","3546","562.007.086.518","425.192","430.156","3,12","1.867.529","93,6","0","0","6"
"7","1","PASEO DE LOS LIBERTADORES","1","USAQUEN","2","2916","630.952.898.115","3546","562.007.086.518","425.192","430.156","3,12","1.867.529","93,6","1","1","2"
"8","2","LA ACADEMIA","11","SUBA","","703","672.073.080.488","920","136.889.875.031","923.064","981.613","3,41","1.388.086","91,6","0","0","7"
"9","17","SAN JOSE DE BAVARIA","11","SUBA","3.44","45368","43.827.316.295","47774","109.005.077.287","923.064","981.613","3,41","1.388.086","91,6","3","1","8"
"10","9","VERBENAL","1","USAQUEN","5","84333","355.788.448.029","96310","270.694.567.329","425.192","430.156","3,12","1.867.529","93,6","2","1","5"
"11","9","VERBENAL","1","USAQUEN","2.95","84333","355.788.448.029","96310","270.694.567.329","425.192","430.156","3,12","1.867.529","93,6","3","1","11"
"12","9","VERBENAL","1","USAQUEN","2.75","84333","355.788.448.029","96310","270.694.567.329","425.192","430.156","3,12","1.867.529","93,6","0","0","10"
"13","9","VERBENAL","1","USAQUEN","1.93","84333","355.788.448.029","96310","270.694.567.329","425.192","430.156","3,12","1.867.529","93,6","0","0","5"
"14","9","VERBENAL","1","USAQUEN","1.48","84333","355.788.448.029","96310","270.694.567.329","425.192","430.156","3,12","1.867.529","93,6","0","0","3"
"15","9","VERBENAL","1","USAQUEN","3","84333","355.788.448.029","96310","270.694.567.329","425.192","430.156","3,12","1.867.529","93,6","0","0","4"
"16","9","VERBENAL","1","USAQUEN","3","84333","355.788.448.029","96310","270.694.567.329","425.192","430.156","3,12","1.867.529","93,6","0","0","4"
"17","10","LA URIBE","1","USAQUEN","4","13585","3.452.642.542","17055","493.969.468.097","425.192","430.156","3,12","1.867.529","93,6","0","0","2"
"18","10","LA URIBE","1","USAQUEN","1.5","13585","3.452.642.542","17055","493.969.468.097","425.192","430.156","3,12","1.867.529","93,6","0","0","1"
"19","10","LA URIBE","1","USAQUEN","2","13585","3.452.642.542","17055","493.969.468.097","425.192","430.156","3,12","1.867.529","93,6","0","0","0"
"20","10","LA URIBE","1","USAQUEN","2.09","13585","3.452.642.542","17055","493.969.468.097","425.192","430.156","3,12","1.867.529","93,6","0","0","2"
"21","10","LA URIBE","1","USAQUEN","4","13585","3.452.642.542","17055","493.969.468.097","425.192","430.156","3,12","1.867.529","93,6","0","0","5"
"22","10","LA URIBE","1","USAQUEN","","13585","3.452.642.542","17055","493.969.468.097","425.192","430.156","3,12","1.867.529","93,6","0","0","5"
"23","9","VERBENAL","1","USAQUEN","3","84333","355.788.448.029","96310","270.694.567.329","425.192","430.156","3,12","1.867.529","93,6","0","0","5"
"24","9","VERBENAL","1","USAQUEN","2.08","84333","355.788.448.029","96310","270.694.567.329","425.192","430.156","3,12","1.867.529","93,6","2","1","2"
